,,,,,,,28/07/2026,RELATÓRIO BAHIA ATUALIZADO,,,,28/07/2026,,EM VERDE DATA REPROGRAMADA,,28/07/2026,,,,,,,,
,,,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,28/07/2026 10:10:01,,,,DÚVIDA CLICA AQUI,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Coluna 1,cartela,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,LOTES,código OS,DT. RECEBIMENTO,DT. ENTREGA,PRAZO,POSIÇÃO NA PRODUÇÃO,DATA SISTEMA,Coluna 2,DATA ALTERADA,cartelas,CÓDIGO ALTERADO,Column 24,códigos do sistema,conta e ordem
2107,OK,DASS ITABERABA,70,140548,1314384,75662,ATAC. M13725 6MM POLIESTER COR 114,100CM,15897391,492,135234,15889181BRITB00544,06/07/2026,31/08/2026,34,,31/08/26,,,,#N/A,1314384,FILA,
2108,OK,DASS ITABERABA,70,140548,1314384,75662,ATAC. M13725 6MM POLIESTER COR 114,100CM,15897391,516,135234,15889182BRITB00544,06/07/2026,31/08/2026,34,,31/08/26,,,,#N/A,1314384,FILA,
2433,OK,DASS SANTO ANTONIO,1526,140522,1294817,87843,ATAC. M10110 5MM POLIESTER COR 599 / COR 114,115CM,15888301,540,135197,15884404BRSA001872,06/07/2026,31/08/2026,34,,31/08/26,,,,#N/A,1294817,FILA,
2434,OK,DASS SANTO ANTONIO,1526,140522,1294817,87843,ATAC. M10110 5MM POLIESTER COR 599 / COR 114,125CM,15888301,84,135197,15884404BRSA001872,06/07/2026,31/08/2026,34,,31/08/26,,,,#N/A,1294817,FILA,
2440,OK,DASS SANTO ANTONIO,1526,140525,738316,1053,ELAST. MTM POLIESTER COR 100,6MM,15888286,2259,135200,0,06/07/2026,31/08/2026,34,,31/08/26,,,,#N/A,738316,FILA,
2441,OK,DASS SANTO ANTONIO,1526,140525,1362716,83202,ELAST. MTM POLIESTER COR 334,6MM,15888286,1112,135200,0,06/07/2026,31/08/2026,34,,31/08/26,,,,#N/A,1362716,FILA,
2223,OK,DASS ITABERABA,70,141194,1425019,74014,FITA MFGP C/ GOMA POLIESTER COR 4085,15MM,15971253,500,135869,0,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1425019,ASICS,NORMAL
2224,OK,DASS ITABERABA,70,141195,1229356,84194,ATAC. M13741 6MM POLIESTER BRILHANTE COR 4085/BT,130CM,15971259,193,135870,15966119ASB0052978,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1229356,ASICS,NORMAL
2225,OK,DASS ITABERABA,70,141195,1229356,84194,ATAC. M13741 6MM POLIESTER BRILHANTE COR 4085/BT,140CM,15971259,192,135870,15966119ASB0052978,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1229356,ASICS,NORMAL
2226,OK,DASS ITABERABA,70,141195,1259764,84785,ATAC. M13741 6MM POLIESTER COR 5461/BT,130CM,15971259,488,135870,15966148ASB0052979,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1259764,ASICS,NORMAL
2227,OK,DASS ITABERABA,70,141195,1259764,84785,ATAC. M13741 6MM POLIESTER COR 5461/BT,140CM,15971259,253,135870,15966148ASB0052979,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1259764,ASICS,NORMAL
2228,OK,DASS ITABERABA,70,141195,1229330,84206,ATAC. M18006 POLIESTER COR 4085,110CM,15971259,726,135870,15966173ASB0053016,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1229330,ASICS,NORMAL
2229,OK,DASS ITABERABA,70,141195,1229330,84206,ATAC. M18006 POLIESTER COR 4085,120CM,15971259,964,135870,15966166ASB0052994,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1229330,ASICS,NORMAL
2230,OK,DASS ITABERABA,70,141195,1229330,84206,ATAC. M18006 POLIESTER COR 4085,120CM,15971259,410,135870,15966173ASB0053016,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1229330,ASICS,NORMAL
2231,OK,DASS ITABERABA,70,141195,1229330,84206,ATAC. M18006 POLIESTER COR 4085,130CM,15971259,346,135870,15966166ASB0052994,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1229330,ASICS,NORMAL
2232,OK,DASS ITABERABA,70,141195,1231865,85476,ATAC. M22037 6MM REFLEX COR 4085/1,130CM,15971259,605,135870,15966121ASB0053035,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1231865,ASICS,NORMAL
2233,OK,DASS ITABERABA,70,141195,1231865,85476,ATAC. M22037 6MM REFLEX COR 4085/1,130CM,15971259,621,135870,15966122ASB0053035,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1231865,ASICS,NORMAL
2234,OK,DASS ITABERABA,70,141195,1231865,85476,ATAC. M22037 6MM REFLEX COR 4085/1,140CM,15971259,192,135870,15966121ASB0053035,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1231865,ASICS,NORMAL
2235,OK,DASS ITABERABA,70,141195,1231865,85476,ATAC. M22037 6MM REFLEX COR 4085/1,140CM,15971259,228,135870,15966122ASB0053035,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1231865,ASICS,NORMAL
